category_name,family,rows,year_min,year_max,exam_code_count,top_label,example_exam
大地工程技師（二）,大地工程技師,4,114,114,1,專技高考_大地工程技師（二）,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
專利師(專業日文及基本設計),專利師,13,101,102,2,高等考試_專利師(專業日文及基本設計),102年專門職業及技術人員高等考試會計師、不動產估價師、專利師考試
專利師(專業日文及工程力學),專利師,13,101,102,2,高等考試_專利師(專業日文及工程力學),102年專門職業及技術人員高等考試會計師、不動產估價師、專利師考試
專利師(專業日文及物理化學),專利師,13,101,102,2,高等考試_專利師(專業日文及物理化學),102年專門職業及技術人員高等考試會計師、不動產估價師、專利師考試
專利師(專業日文及生物技術),專利師,13,101,102,2,高等考試_專利師(專業日文及生物技術),102年專門職業及技術人員高等考試會計師、不動產估價師、專利師考試
專利師(專業日文及計算機結構),專利師,27,101,104,4,專技高考_專利師(專業日文及計算機結構),104年專門職業及技術人員高等考試會計師、不動產估價師、專利師考試
專利師(專業日文及電子學),專利師,13,101,102,2,高等考試_專利師(專業日文及電子學),102年專門職業及技術人員高等考試會計師、不動產估價師、專利師考試
專利師(專業英文及基本設計),專利師,13,101,102,2,高等考試_專利師(專業英文及基本設計),102年專門職業及技術人員高等考試會計師、不動產估價師、專利師考試
專利師(專業英文及工程力學),專利師,13,101,102,2,高等考試_專利師(專業英文及工程力學),102年專門職業及技術人員高等考試會計師、不動產估價師、專利師考試
專利師(專業英文及物理化學),專利師,13,101,102,2,高等考試_專利師(專業英文及物理化學),102年專門職業及技術人員高等考試會計師、不動產估價師、專利師考試
專利師(專業英文及生物技術),專利師,13,101,102,2,高等考試_專利師(專業英文及生物技術),102年專門職業及技術人員高等考試會計師、不動產估價師、專利師考試
專利師(專業英文及計算機結構),專利師,20,101,103,3,高等考試_專利師(專業英文及計算機結構),103年專門職業及技術人員高等考試會計師、不動產估價師、專利師、民間之公證人考試
專利師(專業英文及電子學),專利師,13,101,102,2,高等考試_專利師(專業英文及電子學),102年專門職業及技術人員高等考試會計師、不動產估價師、專利師考試
專利師(選試專業日文及基本設計),專利師,27,100,105,4,專技高考_專利師(選試專業日文及基本設計),105年會計師不動產估價師專利師民間之公證人考試
專利師(選試專業日文及工業設計),專利師,63,106,114,9,專技高考_專利師(選試專業日文及工業設計),114年專門職業及技術人員高等考試會計師、不動產估價師、專利師、植物診療師考試
專利師(選試專業日文及工程力學),專利師,90,100,114,13,專技高考_專利師(選試專業日文及工程力學),114年專門職業及技術人員高等考試會計師、不動產估價師、專利師、植物診療師考試
專利師(選試專業日文及物理化學),專利師,90,100,114,13,專技高考_專利師(選試專業日文及物理化學),114年專門職業及技術人員高等考試會計師、不動產估價師、專利師、植物診療師考試
專利師(選試專業日文及生物技術),專利師,90,100,114,13,專技高考_專利師(選試專業日文及生物技術),114年專門職業及技術人員高等考試會計師、不動產估價師、專利師、植物診療師考試
專利師(選試專業日文及計算機結構),專利師,69,100,114,10,專技高考_專利師(選試專業日文及計算機結構),114年專門職業及技術人員高等考試會計師、不動產估價師、專利師、植物診療師考試
專利師(選試專業日文及電子學),專利師,90,100,114,13,專技高考_專利師(選試專業日文及電子學),114年專門職業及技術人員高等考試會計師、不動產估價師、專利師、植物診療師考試
專利師(選試專業英文及基本設計),專利師,27,100,105,4,專技高考_專利師(選試專業英文及基本設計),105年會計師不動產估價師專利師民間之公證人考試
專利師(選試專業英文及工業設計),專利師,63,106,114,9,專技高考_專利師(選試專業英文及工業設計),114年專門職業及技術人員高等考試會計師、不動產估價師、專利師、植物診療師考試
專利師(選試專業英文及工程力學),專利師,90,100,114,13,專技高考_專利師(選試專業英文及工程力學),114年專門職業及技術人員高等考試會計師、不動產估價師、專利師、植物診療師考試
專利師(選試專業英文及物理化學),專利師,90,100,114,13,專技高考_專利師(選試專業英文及物理化學),114年專門職業及技術人員高等考試會計師、不動產估價師、專利師、植物診療師考試
專利師(選試專業英文及生物技術),專利師,90,100,114,13,專技高考_專利師(選試專業英文及生物技術),114年專門職業及技術人員高等考試會計師、不動產估價師、專利師、植物診療師考試
專利師(選試專業英文及計算機結,專利師,7,104,104,1,專技高考_專利師(選試專業英文及計算機結,104年專門職業及技術人員高等考試會計師、不動產估價師、專利師考試
專利師(選試專業英文及計算機結構),專利師,76,100,114,11,專技高考_專利師(選試專業英文及計算機結構),114年專門職業及技術人員高等考試會計師、不動產估價師、專利師、植物診療師考試
專利師(選試專業英文及電子學),專利師,90,100,114,13,專技高考_專利師(選試專業英文及電子學),114年專門職業及技術人員高等考試會計師、不動產估價師、專利師、植物診療師考試
工業安全技師,工業安全技師,90,100,114,15,專技高考_工業安全技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
工業工程技師,工業工程技師,90,100,114,15,專技高考_工業工程技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
工礦衛生技師,工礦衛生技師,48,100,107,8,專技高考_工礦衛生技師,107年專門職業及技術人員高等考試建築師、技師、第二次食品技師考試暨普通考試不動產經紀人、記帳士考試
建築師,建築師,90,100,114,15,專技高考_建築師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
律師,律師,33,100,103,7,高等考試_律師,103年專門職業及技術人員高等考試律師考試（第二試）
律師(選試勞動社會法),律師(選試勞動社會法),14,105,106,2,專技高考_律師(選試勞動社會法),106年專門職業及技術人員高等考試律師考試（第二試）
律師(選試智慧財產法),律師(選試智慧財產法),14,105,106,2,專技高考_律師(選試智慧財產法),106年專門職業及技術人員高等考試律師考試（第二試）
律師(選試海商法與海洋法),律師(選試海商法與海洋法),14,105,106,2,專技高考_律師(選試海商法與海洋法),106年專門職業及技術人員高等考試律師考試（第二試）
律師(選試財稅法),律師(選試財稅法),14,105,106,2,專技高考_律師(選試財稅法),106年專門職業及技術人員高等考試律師考試（第二試）
律師（選試勞動社會法）,律師（選試勞動社會法）,14,104,107,2,專技高考_律師（選試勞動社會法）,107年專門職業及技術人員高等考試律師考試（第二試）
律師（選試智慧財產法）,律師（選試智慧財產法）,14,104,107,2,專技高考_律師（選試智慧財產法）,107年專門職業及技術人員高等考試律師考試（第二試）
律師（選試海商法與海洋法）,律師（選試海商法與海洋法）,14,104,107,2,專技高考_律師（選試海商法與海洋法）,107年專門職業及技術人員高等考試律師考試（第二試）
律師（選試財稅法）,律師（選試財稅法）,14,104,107,2,專技高考_律師（選試財稅法）,107年專門職業及技術人員高等考試律師考試（第二試）
應用地質技師,應用地質技師,90,100,114,15,專技高考_應用地質技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
採礦工程技師,採礦工程技師,42,101,113,7,專技高考_採礦工程技師,113年專技人員高等考試建築師、32類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
會計師,會計師,105,100,114,15,專技高考_會計師,114年專門職業及技術人員高等考試會計師、不動產估價師、專利師、植物診療師考試
林業技師,林業技師,90,100,114,15,專技高考_林業技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
植物診療師,植物診療師,6,114,114,1,專技高考_植物診療師,114年專門職業及技術人員高等考試會計師、不動產估價師、專利師、植物診療師考試
機械工程技師,機械工程技師,90,100,114,15,專技高考_機械工程技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
民間之公證人,民間之公證人,56,101,113,7,專技高考_民間之公證人,113年專門職業及技術人員高等考試會計師、不動產估價師、專利師、民間之公證人考試
水利工程技師,水利工程技師,90,100,114,15,專技高考_水利工程技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
水土保持技師,水土保持技師,90,100,114,15,專技高考_水土保持技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
水產養殖技師,水產養殖技師,90,100,114,15,專技高考_水產養殖技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
消防設備師,消防設備師,90,101,115,15,消防設備師高等考試_消防設備師,115年專技人員高等考試大地工程技師考試分階段考試(第一階段考試)、驗船師、第一次食品技師考試、高等暨普通考試消防設備人員考試、普通考試地政...
測量技師,測量技師,90,100,114,15,專技高考_測量技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
漁撈技師,漁撈技師,42,101,113,7,專技高考_漁撈技師,113年專技人員高等考試建築師、32類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
牙醫師,牙醫師,12,100,100,2,專技高考_牙醫師,100年第二次專技牙醫、助產、職能治療、醫事放射、物理治療、呼吸治療、獸醫暨牙醫分試考試
環境工程技師,環境工程技師,90,100,114,15,專技高考_環境工程技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
甲種引水人(和平港),甲種引水人,15,106,110,3,引水人高等考試_甲種引水人(和平港),110年專技人員高等考試大地工程技師考試分階段考試（第一階段考試）、驗船師、引水人、第一次食品技師考試、高等暨普通考試消防設備人員考試、普通...
甲種引水人(基隆港),甲種引水人,25,102,110,5,引水人高等考試_甲種引水人(基隆港),110年專技人員高等考試大地工程技師考試分階段考試（第一階段考試）、驗船師、引水人、第一次食品技師考試、高等暨普通考試消防設備人員考試、普通...
甲種引水人(安平港),甲種引水人,15,106,112,3,引水人高等考試_甲種引水人(安平港),112年專技人員高等考試大地工程技師考試分階段考試(第一階段考試)、驗船師、引水人、第一次食品技師考試、高等暨普通考試消防設備人員考試、普通...
甲種引水人(臺中港),甲種引水人,35,102,114,7,引水人高等考試_甲種引水人(臺中港),114年專技人員高等考試大地工程技師考試分階段考試(第一階段考試)、驗船師、引水人、第一次食品技師考試、高等暨普通考試消防設備人員考試、普通...
甲種引水人(臺北港),甲種引水人,25,104,114,5,引水人高等考試_甲種引水人(臺北港),114年專技人員高等考試大地工程技師考試分階段考試(第一階段考試)、驗船師、引水人、第一次食品技師考試、高等暨普通考試消防設備人員考試、普通...
甲種引水人(花蓮港),甲種引水人,20,104,112,4,引水人高等考試_甲種引水人(花蓮港),112年專技人員高等考試大地工程技師考試分階段考試(第一階段考試)、驗船師、引水人、第一次食品技師考試、高等暨普通考試消防設備人員考試、普通...
甲種引水人(蘇澳港),甲種引水人,10,110,112,2,引水人高等考試_甲種引水人(蘇澳港),112年專技人員高等考試大地工程技師考試分階段考試(第一階段考試)、驗船師、引水人、第一次食品技師考試、高等暨普通考試消防設備人員考試、普通...
甲種引水人(高雄港),甲種引水人,35,102,114,7,引水人高等考試_甲種引水人(高雄港),114年專技人員高等考試大地工程技師考試分階段考試(第一階段考試)、驗船師、引水人、第一次食品技師考試、高等暨普通考試消防設備人員考試、普通...
甲種引水人(麥寮港),甲種引水人,30,104,114,6,引水人高等考試_甲種引水人(麥寮港),114年專技人員高等考試大地工程技師考試分階段考試(第一階段考試)、驗船師、引水人、第一次食品技師考試、高等暨普通考試消防設備人員考試、普通...
畜牧技師,畜牧技師,90,100,114,15,專技高考_畜牧技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
礦業安全技師,礦業安全技師,30,101,113,5,專技高考_礦業安全技師,113年專技人員高等考試建築師、32類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
紡織工程技師,紡織工程技師,36,101,111,6,專技高考_紡織工程技師,111年專技人員高等考試建築師、31類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
結構工程技師,結構工程技師,90,100,114,15,專技高考_結構工程技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
職業衛生技師,職業衛生技師,42,108,114,7,專技高考_職業衛生技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
航空工程技師,航空工程技師,30,101,109,5,專技高考_航空工程技師,109年專技人員高等考試建築師、32類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
藥師,藥師,72,100,107,12,專技高考_藥師,107年第一次專技人員高等考試醫師牙醫師藥師考試分階段考試、醫事檢驗師、醫事放射師、物理治療師、職能治療師、呼吸治療師、獸醫師考試、107年...
資訊技師,資訊技師,90,100,114,15,專技高考_資訊技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
農藝技師,農藝技師,90,100,114,15,專技高考_農藝技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
造船工程技師,造船工程技師,42,101,113,7,專技高考_造船工程技師,113年專技人員高等考試建築師、32類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
都市計畫技師,都市計畫技師,90,100,114,15,專技高考_都市計畫技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
醫師(ㄧ),醫師(ㄧ),4,103,104,2,高考_醫師(ㄧ),104年第一次專技醫師中醫師分階段考試、中醫師營養師心理師護理師社會工作師考試
電子工程技師,電子工程技師,90,100,114,15,專技高考_電子工程技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
電機工程技師,電機工程技師,90,100,114,15,專技高考_電機工程技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
食品技師,食品技師,180,100,115,30,食品技師高等考試_食品技師,115年專技人員高等考試大地工程技師考試分階段考試(第一階段考試)、驗船師、第一次食品技師考試、高等暨普通考試消防設備人員考試、普通考試地政...
驗船師,驗船師,90,101,115,15,驗船師高等考試_驗船師,115年專技人員高等考試大地工程技師考試分階段考試(第一階段考試)、驗船師、第一次食品技師考試、高等暨普通考試消防設備人員考試、普通考試地政...
